+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.01                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) 24-05-2019_16-48-45

	inpoed array

110 531 0 0 
111 112 1 1 
111 373 0 0 
111 531 0 0 
112 373 0 0 
112 113 1 1 
112 532 0 0 
113 114 1 1 
113 374 0 0 
113 532 0 0 
114 374 0 0 
114 115 1 1 
114 533 0 0 
115 116 1 1 
115 375 0 0 
115 533 0 0 
116 375 0 0 
116 117 1 1 
116 534 0 0 
117 118 1 1 
117 376 0 0 
117 534 0 0 
118 376 0 0 
118 119 1 1 
118 535 0 0 
119 120 1 1 
119 377 0 0 
119 535 0 0 
120 377 0 0 
120 121 1 1 
120 536 0 0 
121 122 1 1 
121 378 0 0 
121 536 0 0 
122 378 0 0 
122 123 1 1 
122 537 0 0 
123 124 1 1 
123 379 0 0 
123 537 0 0 
124 379 0 0 
124 125 1 1 
124 538 0 0 
125 126 1 1 
125 380 0 0 
125 538 0 0 
126 380 0 0 
126 127 1 1 
126 539 0 0 
127 128 1 1 
127 381 0 0 
127 539 0 0 
128 381 0 0 
128 129 1 1 
128 540 0 0 
129 130 1 1 
129 382 0 0 
129 540 0 0 
130 382 0 0 
130 383 0 0 
131 383 0 0 
131 132 3 2 
132 383 0 0 
132 133 3 2 
132 384 0 0 
132 542 0 0 
133 384 0 0 
133 134 3 2 
133 543 0 0 
134 135 3 2 
134 385 0 0 
134 543 0 0 
135 385 0 0 
135 136 3 2 
135 544 0 0 
136 137 3 2 
136 386 0 0 
136 544 0 0 
137 386 0 0 
137 541 0 0 
137 138 3 2 
138 139 3 2 
138 387 0 0 
138 541 0 0 
139 387 0 0 
139 140 3 2 
139 545 0 0 
140 141 3 2 
140 388 0 0 
140 545 0 0 
141 388 0 0 
141 142 3 2 
141 546 0 0 
142 143 3 2 
142 389 0 0 
142 546 0 0 
143 389 0 0 
143 144 3 2 
143 547 0 0 
144 145 3 2 
144 390 0 0 
144 547 0 0 
145 390 0 0 
145 146 3 2 
145 548 0 0 
146 147 3 2 
146 391 0 0 
146 548 0 0 
147 391 0 0 
147 148 3 2 
147 549 0 0 
148 149 3 2 
148 392 0 0 
148 549 0 0 
149 392 0 0 
149 150 3 2 
149 550 0 0 
150 151 3 2 
150 393 0 0 
150 550 0 0 
151 393 0 0 
151 152 3 2 
151 551 0 0 
152 153 3 2 
152 394 0 0 
152 551 0 0 
153 394 0 0 
153 154 3 2 
153 552 0 0 
154 155 3 2 
154 395 0 0 
154 552 0 0 
155 395 0 0 
155 156 3 2 
155 553 0 0 
156 157 3 2 
156 396 0 0 
156 553 0 0 
157 396 0 0 
157 158 3 2 
157 554 0 0 
158 159 3 2 
158 397 0 0 
158 554 0 0 
159 397 0 0 
159 160 3 2 
159 555 0 0 
160 161 3 2 
160 398 0 0 
160 555 0 0 
161 398 0 0 
161 399 0 0 
162 399 0 0 
162 163 5 3 
163 399 0 0 
163 164 5 3 
163 400 0 0 
163 557 0 0 
164 400 0 0 
164 165 5 3 
164 558 0 0 
165 166 5 3 
165 401 0 0 
165 558 0 0 
166 401 0 0 
166 167 5 3 
166 559 0 0 
167 168 5 3 
167 402 0 0 
167 559 0 0 
168 402 0 0 
168 556 0 0 
168 169 5 3 
169 170 5 3 
169 403 0 0 
169 556 0 0 
170 403 0 0 
170 171 5 3 
170 560 0 0 
171 172 5 3 
171 404 0 0 
171 560 0 0 
172 404 0 0 
172 173 5 3 
172 561 0 0 
173 174 5 3 
173 405 0 0 
173 561 0 0 
174 405 0 0 
174 175 5 3 
174 562 0 0 
175 176 5 3 
175 406 0 0 
175 562 0 0 
176 406 0 0 
176 177 5 3 
176 563 0 0 
177 178 5 3 
177 407 0 0 
177 563 0 0 
178 407 0 0 
178 179 5 3 
178 564 0 0 
179 180 5 3 
179 408 0 0 
179 564 0 0 
180 408 0 0 
180 181 5 3 
180 565 0 0 
181 182 5 3 
181 409 0 0 
181 565 0 0 
182 409 0 0 
182 183 5 3 
182 566 0 0 
183 184 5 3 
183 410 0 0 
183 566 0 0 
184 410 0 0 
184 185 5 3 
184 567 0 0 
185 186 5 3 
185 411 0 0 
185 567 0 0 
186 411 0 0 
186 187 5 3 
186 568 0 0 
187 188 5 3 
187 412 0 0 
187 568 0 0 
188 412 0 0 
188 189 5 3 
188 569 0 0 
189 190 5 3 
189 413 0 0 
189 569 0 0 
190 413 0 0 
190 191 5 3 
190 570 0 0 
191 192 5 3 
191 414 0 0 
191 570 0 0 
192 414 0 0 
192 193 5 3 
192 571 0 0 
193 194 5 3 
193 415 0 0 
193 571 0 0 
194 415 0 0 
194 195 5 3 
194 572 0 0 
195 196 5 3 
195 416 0 0 
195 572 0 0 
196 416 0 0 
196 197 5 3 
196 573 0 0 
197 198 5 3 
197 417 0 0 
197 573 0 0 
198 417 0 0 
198 199 5 3 
198 574 0 0 
199 200 5 3 
199 418 0 0 
199 574 0 0 
200 418 0 0 
200 201 5 3 
200 575 0 0 
201 202 5 3 
201 419 0 0 
201 575 0 0 
202 419 0 0 
202 203 5 3 
202 576 0 0 
203 204 5 3 
203 420 0 0 
203 576 0 0 
204 420 0 0 
204 205 5 3 
204 577 0 0 
205 206 5 3 
205 421 0 0 
205 577 0 0 
206 421 0 0 
206 207 5 3 
206 578 0 0 
207 208 5 3 
207 422 0 0 
207 578 0 0 
208 422 0 0 
208 209 5 3 
208 579 0 0 
209 210 5 3 
209 423 0 0 
209 579 0 0 
210 423 0 0 
210 211 5 3 
210 580 0 0 
211 212 5 3 
211 424 0 0 
211 580 0 0 
212 424 0 0 
212 213 5 3 
212 581 0 0 
213 214 5 3 
213 425 0 0 
213 581 0 0 
214 425 0 0 
214 215 5 3 
214 582 0 0 
215 216 5 3 
215 426 0 0 
215 582 0 0 
216 426 0 0 
216 217 5 3 
216 583 0 0 
217 218 5 3 
217 427 0 0 
217 583 0 0 
218 427 0 0 
218 219 5 3 
218 584 0 0 
