+------------------------------ CFD LOVES C++ ---------------------------+
|--------------------DISCONTINUOS GALERKIN METHOD SOLVER-----------------|
|                                  Author                                |
|   Nam Ha Tran.                                                         |
|   Ver 1.00                                                             |
+------------------------------------------------------------------------+
|   This program uses Discontinous Galerkin method to solve 2D problems  |
|   on structural and unstructural mesh.                                 |
+------------------------------------------------------------------------+
	Program ran at (d-m-y_h-m-s) time
  
Points
NumberOfEntities 319
{
209 4.65871e-13 47.0436 0 
210 -9.40873 47.0436 0 
211 -18.8175 47.0436 0 
212 -28.2262 47.0436 0 
213 -37.6349 47.0436 0 
214 36.0869 45.1086 0 
215 27.0651 45.1086 0 
216 18.0434 45.1086 0 
217 9.02172 45.1086 0 
218 4.45246e-13 45.1086 0 
219 -9.02172 45.1086 0 
220 -18.0434 45.1086 0 
221 -27.0651 45.1086 0 
222 -36.0869 45.1086 0 
223 34.2292 42.7865 0 
224 25.6719 42.7865 0 
225 17.1146 42.7865 0 
226 8.5573 42.7865 0 
227 4.20497e-13 42.7865 0 
228 -8.5573 42.7865 0 
229 -17.1146 42.7865 0 
230 -25.6719 42.7865 0 
231 -34.2292 42.7865 0 
232 32 40 0 
233 24 40 0 
234 16 40 0 
235 8 40 0 
236 3.90799e-13 40 0 
237 -8 40 0 
238 -16 40 0 
239 -24 40 0 
240 -32 40 0 
241 -33.2496 29.1884 0 
242 -32.6819 12.475 0 
243 -32.5682 -4.01641 0 
244 -32.468 -20.7485 0 
245 -27.1926 -33.7693 0 
246 -12.1827 -32.5729 0 
247 4.13754 -32.1643 0 
248 20.7094 -32.8138 0 
249 33.4235 -27.2114 0 
250 32.0152 -12.1283 0 
251 32.0671 4.30601 0 
252 32.6138 20.1222 0 
253 29.2807 33.1923 0 
254 12.7072 31.8917 0 
255 -3.77177 31.9215 0 
256 -19.9481 32.2096 0 
257 -32.8746 20.7413 0 
258 -32.6239 4.22862 0 
259 -32.3019 -12.4241 0 
260 -33.3245 -29.2516 0 
261 -20.041 -32.9826 0 
262 -4.05505 -32.2062 0 
263 12.4162 -32.3146 0 
264 29.1657 -33.3874 0 
265 32.3142 -19.9793 0 
266 32.1743 -3.84255 0 
267 32.0803 12.377 0 
268 33.6089 27.1535 0 
269 20.8904 32.4018 0 
270 4.48275 31.8 0 
271 -12.0523 31.8242 0 
272 -27.1286 33.3756 0 
273 -25.0552 17.3254 0 
274 17.2894 -24.8824 0 
275 -24.7812 0.326581 0 
276 -8.49254 -24.5831 0 
277 8.52028 -24.5075 0 
278 -17.1314 -25.0363 0 
279 24.3519 17.5192 0 
280 25.7341 -25.7121 0 
281 -0.00871318 -24.2393 0 
282 24.5132 -7.88237 0 
283 23.2912 -17.16 0 
284 -17.1512 23.1811 0 
285 9.30801 23.5061 0 
286 -24.9409 8.70652 0 
287 17.8847 24.0918 0 
288 -23.4113 -17.4229 0 
289 26.1149 25.6351 0 
290 -24.8288 -8.07415 0 
291 23.8883 9.07257 0 
292 -7.78035 24.1836 0 
293 -25.4936 -26.1358 0 
294 -25.6993 25.7042 0 
295 24.2326 0.522174 0 
296 0.666009 23.7768 0 
297 15.1001 14.7665 0 
298 -17.6679 13.2949 0 
299 -13.3179 -17.4858 0 
300 13.2415 -17.4327 0 
301 -17.6429 -11.2025 0 
302 17.4378 -11.1206 0 
303 16.2484 4.88614 0 
304 4.3282 -16.2086 0 
305 -4.4491 -16.2003 0 
306 -16.9348 -3.57877 0 
307 -11.142 17.1844 0 
308 -3.43624 15.836 0 
309 -16.9436 4.70429 0 
310 16.5777 -3.53187 0 
311 5.03999 15.5245 0 
312 8.13434 -0.168362 0 
313 -0.0786861 5.96704 0 
314 8.78783 8.22997 0 
315 -0.104629 -6.30358 0 
316 -8.47406 0.163301 0 
317 9.4998 -9.0545 0 
318 -9.69503 -8.97657 0 
319 -9.39926 9.20854 0 
}
